codigo_ordem_producao,materia_prima,quantidade,unidade_medida,lote
4497,MP 350,5.86431,KG,9220324079
4497,MP 357,1.14117,KG,10010012701
4497,MP 364,2.08777,KG,20220516
4497,MP 371,0.89544,KG,202206010
4497,MP 372,0.67054,KG,088118
4497,MP 374,1.04112,KG,MFC280720/01
4497,MP 381,15.6182,KG,300606069
4497,MP 384,0.52061,KG,640473
4497,MP 388,2.748,KG,090195
4497,MP 391,1.04388,KG,0020220120
4497,MP 421,0.14659,KG,NH108055
4497,MP 442,1.85486,KG,615522175
4497,MP 442,0.39414,KG,601322307
4511,MP 412,7.96035,KG,340-21-B
4511,MP 414,1.99061,KG,006193220
4511,MP 420,0.21322,KG,166898
4514,MP 345,0.56897,KG,P222536AB
4514,MP 364,1.54828,KG,20220516
4514,MP 387,4.05948,KG,22060201
4514,MP 391,0.62069,KG,0020220120
4514,MP 403,4.10517,KG,225006098
4514,MP 404,2.575,KG,090484
4514,MP 408,4.9681,KG,SL30779
4514,MP 409,7.96034,KG,SL28131
4514,MP 410,0.03412,KG,20201205RA-50
4514,MP 417,0.25815,KG,21100394
4514,MP 440,0.56914,KG,3624815
4514,MPHM14,6.68621,KG,1103/21
4610,MP 326,0.77418,KG,FFE/H-05/2022
4610,MP 350,7.65093,KG,9220325081
4610,MP 357,11.6679,KG,100100221002
4610,MP 371,0.30969,KG,202206010
4610,MP 372,0.24593,KG,091324
4610,MP 388,2.73255,KG,090786
4610,MP 399,1.16099,KG,5771.4002008.2609
4610,MP 400,0.54646,KG,220606B4
4611,MP 326,0.77418,KG,FFE/H-05/2022
4611,MP 350,7.65093,KG,9220325081
4611,MP 357,11.6679,KG,100100221002
4611,MP 371,0.30969,KG,202206010
4611,MP 372,0.24593,KG,091324
4611,MP 388,2.73255,KG,090786
4611,MP 399,1.16099,KG,5771.4002008.2609
4611,MP 400,0.54646,KG,220606B4
4615,MP 390,0.26349,KG,L01251122
4615,MP 391,1.08418,KG,0020220120
4615,MP 421,1.26965,KG,NH108055
4615,MP 350,5.93025,KG,9220325081
4615,MP 357,1.16637,KG,100100221002
4615,MP 364,2.16835,KG,20220516
